,Ruta,Operador,Tipo de vuelo,Tipo de aeronave,Registro,Total a bordo,Pasajeros a bordo,Personal a bordo,Cantidad de fallecidos,Pasajeros fallecidos,Personal fallecidos,Accidente terrestre,Año,Tasa_Mortalidad_Anual
2895,"Brunswick, Georgia",Atlantic Southeast Airlines,Atlanta - Brunswick,Embraer 120RT- Brasilia,N270AS,23.0,20.0,3.0,23.0,20.0,3.0,0.0,1991,100.0
2896,"Off Nuka Hiva, French Polynesia",Air Tahiti,Hiva Ou - Nuku Hiva,Dornier Do-228-212,F-OHAB,22.0,19.0,3.0,11.0,10.0,1.0,0.0,1991,50.0
2897,"Sulawesi, Indonesia",Merpati Nusantara Airlines,Ambon - Ternate - Manado,Fokker F-27 Friendship 600,PK-MFD,13.0,8.0,5.0,13.0,8.0,5.0,0.0,1991,100.0
2898,"Grand Canyon, Airzona",Air Taxi - Air Grand Canyon Inc.,Local sightseeing,Cessna 207A,N6280H,7.0,6.0,1.0,7.0,6.0,1.0,0.0,1991,100.0
2899,"La Poyatta, Colombia",ADES Colombia,Villavicencio - Miraflores Guaviarel,Douglas C-47B,HK-3177,14.0,11.0,3.0,13.0,11.0,2.0,0.0,1991,92.85714285714286
2900,"Leningrad, USSR",Aeroflot,Sukhumi - 	St. Petersburg,Tupolev TU-154B-1,CCCP-85097,181.0,174.0,7.0,13.0,13.0,0.0,0.0,1991,7.18232044198895
2901,"Bakhtaran, Iran",Metro Cargo,Cologne-Bakhtaran,Ilyushin 76TD,LZ-INK,10.0,0.0,10.0,4.0,0.0,4.0,0.0,1991,40.0
2902,"Near Ban Nong Rong, Thailand",Lauda Air,"Bangkok - Wien, Austria",Boeing B-767-3Z9ER,OE-LAV,223.0,213.0,10.0,223.0,213.0,10.0,0.0,1991,100.0
2903,"Off Matthewtown, Great Inagua",Agape Flight Inc.,"Grada Zuma, Bahamas - Cape Hatien",GAF Nomad N24A,N8071L,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1991,66.66666666666666
2904,"Luanda, Angola",Carib Air Transport,Luanda - Cafunfo,Lockheed L-382B Hercules,J6-SLQ,7.0,4.0,3.0,7.0,4.0,3.0,0.0,1991,100.0
2905,"Near Malambo, Colombia",Aerosucre Colombia,Bogota - Malambo,Douglas DC-6BF,HK-3511,18.0,15.0,3.0,2.0,2.0,0.0,0.0,1991,11.11111111111111
2906,"Gulf of Finland, Russia",AKF Polet,Saint Petersburg - Voronezh,Antonov AN-24,CCCP-46724,10.0,4.0,6.0,10.0,4.0,6.0,0.0,1991,100.0
2907,"Near Sokotu, Nigeria",Okada Air,Benin - Kano,BAC One-Eleven 402AP,5N-AOW,53.0,48.0,5.0,4.0,4.0,0.0,0.0,1991,7.547169811320755
2908,"Bellavista Airport, Peru",Aerochasqui,Bellvista - Pucallpa,CASA 212 Aviocar 200,OB-1218,15.0,13.0,2.0,15.0,13.0,2.0,0.0,1991,100.0
2909,"Birmingham, Alabama",L'Express Airlines,New Orleans - Mobile - Birmingham,Beechcraft BE-99-C99,N7217L,15.0,13.0,2.0,13.0,12.0,1.0,0.0,1991,86.66666666666667
2910,"Jeddah, Saudi Arabia",Nationair (chartered by Nigeria Airways),Jeddah - Sokoto,McDonnell Douglas DC-8 Super 61,C-GMXQ,261.0,247.0,14.0,261.0,247.0,14.0,0.0,1991,100.0
2911,"Espiritu Santos, Vanuatu",Vanair,Nogougou - Luganville,Britten-Norman BN-2A-6 Islander,YJ-RV4,9.0,8.0,1.0,9.0,8.0,1.0,0.0,1991,100.0
2912,"Rarotonga, Cook Islands",Avalki Air,Altukaki - Rarotonga,Britten-Norman BN-2A-6 Islander,DQ-FCN,10.0,8.0,2.0,6.0,5.0,1.0,0.0,1991,60.0
2913,"Near Uricani, Romania",Tarom,Bucharest - Timisoara,Ilyushin IL-18V,YR-IMH,9.0,4.0,5.0,9.0,4.0,5.0,0.0,1991,100.0
2914,"Imphal, India",Indian Airlines,Calcutta - Imphal,Boeing B-737-2A8,VT-EFL,69.0,63.0,6.0,69.0,63.0,6.0,0.0,1991,100.0
2915,"Ketchikan, Alaska",Temsco Airlines,"Ketchikan, AK - Wrangell, AK",Britten-Norman BN-2A-6 Islander,N68HA,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1991,100.0
2916,"Sampit, Indonesia",Dirgantara Air Services,Sampit - Plangkaraya,Britten-Norman BN-2A-21,PK-VIP,10.0,8.0,2.0,3.0,1.0,2.0,0.0,1991,30.0
2917,"Long Seridan, Malaysia",Airtech Rajawaldi Udara,Bario - Marudi,Shorts SC-7 Skyvan 3-100,9M-AZB,20.0,18.0,2.0,14.0,12.0,2.0,0.0,1991,70.0
2918,"Near Eagle Lake, Texas",Continental Express,Laredo - Houston,Embraer 120RT Brasilia,N33701,14.0,11.0,3.0,14.0,11.0,3.0,0.0,1991,100.0
2919,"Petropavlosk, USSR",Aeroflot,Lensk - Omsk,Antonov AN-72,CCCP-74002,13.0,7.0,6.0,13.0,7.0,6.0,0.0,1991,100.0
2920,"Djibouti City, Djibouti	Djibouti City, DjiboutiDjibouti City, Djibouti",Ethiopian Airlines,Djibouti  - : Dire Dawa-Aba,Lockheed L-100-30 Hercules,ET-AJL,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1991,100.0
2921,"Belvedere Center, Vermont",Canair Cargo,Moncton - Hamilton,Convair CV-580,C-FICA,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1991,100.0
2922,"Off St. Petersburg, USSR",Aeroflot,St. Petersburg - Voronezh,Antonov AN-26,CCCP-46724,10.0,7.0,3.0,10.0,7.0,3.0,0.0,1991,100.0
2923,"Guadalcanal Island, Solomon Islands",Solomon Islands Airlines,Kira-Kira - Honiara,de Havilland Canada DHC-6 Twin Otter 300,H4-SIA,15.0,13.0,2.0,15.0,13.0,2.0,0.0,1991,100.0
2924,"Near Villavicencio,  Colombia",CORAL Colombia,Villlavicencio - Mitu,Curtiss C-46A,HK-3238,10.0,6.0,4.0,1.0,1.0,0.0,0.0,1991,10.0
2925,"Near Jakarta, Indonesia",Military - Indonesian Air Force,Jakarta-Bandung,Lockheed C-130H-30,A-1324,134.0,129.0,5.0,134.0,129.0,5.0,2.0,1991,100.0
2926,"Aponguao Falls, Venezuela",EDELCA,Kavanayen - Luepa,Bell 214 ST,YV-O-CVG-4,12.0,9.0,3.0,12.0,9.0,3.0,0.0,1991,100.0
2927,"Vallejo, California",Corporate Mobility Inc. - Private,"Concord, CA - Novato, CA",Bell 206B helicopter,N3456M,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1991,100.0
2928,"Tumbang Miri, Indonesia",Bali International Air Service,Palangkaraya - Sampit,Britten-Norman BN2A-III-2 Trislander,PK-KTC,17.0,16.0,1.0,17.0,16.0,1.0,0.0,1991,100.0
2929,"Near Point Alert, Ellesmere Island, NWT,Canada",Military - Royal Canadian Air Force,Edmonton - Point Alert,Lockheed CC-130E,130322,18.0,13.0,5.0,5.0,3.0,2.0,0.0,1991,27.77777777777778
2930,"Makhackala, Russia",Aeroflot,Ellsta - Makhackala,Yakovlev YAK-40,CCCP-87526,51.0,47.0,4.0,51.0,47.0,4.0,0.0,1991,100.0
2931,"Recife, Brazil",Nordeste Linhas Aereas,Recife - Maceió - Aracajú - Salvador,Embraer 110P1 Bandeirante,PT-SCU,15.0,12.0,3.0,15.0,12.0,3.0,2.0,1991,100.0
2932,"Davis, California",Air Taxi - Airis Helicopters Inc.,"San Francisco, CA - Sacramento, CA",Bell 206B,N5011K,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1991,100.0
2933,"Near Bugulma, Russia",Tartarstan Airlines,Nizhnevartovsk - Bugulma,Antonov AN-24,CCCP-47823,41.0,37.0,4.0,41.0,37.0,4.0,0.0,1991,100.0
2934,"Guaratingueta AB, Brazil",Military - Força Aérea Brasileira,Brasilla  - Guarantinguerta,Embraer C-95C Bandeirante,FAB2333,16.0,13.0,3.0,16.0,13.0,3.0,0.0,1991,100.0
2935,"Heidelberg, Germany",Classic Wings,Frankfurt - Frankfurt,Douglas DC-3A,D-CCCC,30.0,27.0,3.0,27.0,24.0,3.0,0.0,1991,90.0
2936,"Stockholm, Sweden",Scandinavian Airlines (SAS),Stockholm-Copenhagen-Warsaw,Mc Donnell Douglas MD-81,OY-KHO,129.0,123.0,6.0,0.0,0.0,0.0,0.0,1991,0.0
2937,"Wanli, Taiwan",China Airlines (Taiwan),Taipei - Anchorage,Boeing B-747-2R7F,B-198,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1991,100.0
2938,"Mt. Saint-Odile, near Strasbourg, France",Air Inter,Lyon - Strasbourg,Airbus A320-111,F-GGED,96.0,90.0,6.0,87.0,82.0,5.0,0.0,1992,90.625
2939,"Caetite, Brazil",Nordeste Linhas Aéreas,Salvador - Guanambi,Embraer 110C Bandeirante,PT-TBB,12.0,10.0,2.0,12.0,10.0,2.0,0.0,1992,100.0
2940,"Near Kafountine, Senegal",Gambcrest,Dakar - Yoff - Cap Skiring,Convair CV- 640,N862FW,56.0,50.0,6.0,30.0,26.0,4.0,0.0,1992,53.57142857142857
2941,"Toledo, Ohio",ATI,Seattle - Toledo,McDonnell Douglas DC-8-63F,N794AL,4.0,0.0,4.0,3.0,0.0,3.0,0.0,1992,75.0
2942,"Beni, Bolivia",Frigorifico Santa Rita,Estencia el Trompillo - La Paz,Curtiss C-46T,CP-754,5.0,2.0,3.0,5.0,2.0,3.0,0.0,1992,100.0
2943,"Etsouali, Congo",Lina Congo,Dwando - Brazzaville,de Havilland Canada DHC-6 Twin Otter 300,TN-ACX,8.0,5.0,3.0,3.0,0.0,3.0,0.0,1992,37.5
2944,"La Guardia Airport, New York, New York",USAir,New York City - Cleveland,Fokker F-28 Fellowship 4000,N485US,51.0,47.0,4.0,27.0,25.0,2.0,0.0,1992,52.94117647058824
2945,"Athens, Greece",Golden Star Air Cargo,Amsterdam - Athens,Boeing 707-321C,ST-ALX,7.0,4.0,3.0,7.0,4.0,3.0,0.0,1992,100.0
2946,"Near Baikov, Russia",Kamchatavia,Petropavlovsk -Baikov,Let 410UVP,CCCP-67130,12.0,10.0,2.0,1.0,1.0,0.0,0.0,1992,8.333333333333332
2947,"Near Sarra, Libya",Air Bissau,Khartoum - Tunis,Antonov AN-24RV,J5-GAE,13.0,10.0,3.0,3.0,0.0,3.0,0.0,1992,23.076923076923077
2948,"Nairobi, Kenya",Military - Kenyan Air Force,Nairobi - Laikipia,de Havilland DHC-5 Buffalo,218,46.0,42.0,4.0,46.0,42.0,4.0,6.0,1992,100.0
2949,"Near Goroka, Papua New Guinea",Talair,Madang - Goroka,Embraer 110P1 Bandeirante,P2-RDS,15.0,13.0,2.0,11.0,9.0,2.0,0.0,1992,73.33333333333333
2950,"Perris Valley, California",Perris Valley Aviation,Local,de Havilland Canada DHC-6 Twin Otter 200,N141PV,22.0,20.0,2.0,16.0,14.0,2.0,0.0,1992,72.72727272727273
2951,"Mt. Haleakala, Hawaii",Scenic Air Tours,Local sightseeing,Beechcraft E18S,N342E,9.0,8.0,1.0,9.0,8.0,1.0,0.0,1992,100.0
2952,"Saveh, Iran",Saha Airline Services,Bandar Manshahr  - Tehran,Fokker F-27 Friendship 400M,5-8815,39.0,35.0,4.0,39.0,35.0,4.0,0.0,1992,100.0
2953,"Tucuti, Panama",COPA (Panama),"Panama City, Panama - Cali, Colombia",Boeing B-737-204,HP-1205,47.0,40.0,7.0,47.0,40.0,7.0,0.0,1992,100.0
2954,"Mayaguez, Puerto Rico",American Eagle,San Juan - Mayaguez,CASA 212 Aviocar 200,N355CA,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1992,100.0
2955,"Cruzeiro do Sul, Brazil",VASP,Rio Branc - Cruzeiro do Sul,Boeing 737-2A1C,PP-SND,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1992,100.0
2956,"Norlisk, Russia",Krasnoyarsk Airlines,Igarka - Omsk,Antonov AN-12,CCCP-11896,12.0,7.0,5.0,10.0,6.0,4.0,0.0,1992,83.33333333333334
2957,"Near Iyakochchi, Sri Lanka",Military - Sri Lanka Air Force,Colombo - Jaffna,Shaanxi Y-8D,CR872,19.0,13.0,6.0,19.0,13.0,6.0,0.0,1992,100.0
2958,"Bethel, Alaska",Arctic Circle Air Service,Bethel - Chevak,Shorts SC-7 Skyvan 3A-200,N20086,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1992,100.0
2959,"Near Nakhichevan, Azerbaijan",Military - Russian Air Force,Nakhichevan - Rostov,Antonov AN-12V,CCCP-11111,34.0,27.0,7.0,29.0,24.0,5.0,0.0,1992,85.29411764705883
2960,"Tbilisi, Georgia",Georgian Air,Tbilisi - Mineralnye Vody,Tupolev TU-154B,CCCP-85222,24.0,16.0,8.0,24.0,16.0,8.0,4.0,1992,100.0
2961,"Mt. Lalaboy,  Indonesia",Mandala Airlines,Jakarta - Surabaya - Ujung Pandang - Ambon,Vickers Viscount 816,PK-RVU,70.0,63.0,7.0,70.0,63.0,7.0,0.0,1992,100.0
2962,"Near Mexico City, Mexico",Aero Eslava,Puebla - Mexico City,Vickers 798D Viscount,XA-SCM,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1992,100.0
2963,"JFK Airport, New York, New York",Trans World Airlines,New York City - San Francisco,Lockheed L-1011,N11002,292.0,280.0,12.0,0.0,0.0,0.0,0.0,1992,0.0
2964,"Near Kathmandu, Nepal",Thai Airways,Bangkok - Kathmandu,Airbus A310-304,HS-TID,113.0,99.0,14.0,113.0,99.0,14.0,0.0,1992,100.0
2965,"Nanjing, Jiangsu, China",China General Aviation Corporation,Nanjing - Xiamen,Yakovlev YAK-42D,B-2755,126.0,116.0,10.0,108.0,100.0,8.0,0.0,1992,85.71428571428571
2966,"Colorado, Bolivia",Servicios Aereos Santa Ana,La Paz - Santa Ana de Yacuma,Convair CV-440-80,CP-1961,10.0,7.0,3.0,10.0,7.0,3.0,0.0,1992,100.0
2967,"Hot Springs, Arizona",Lone Star Airlines,Test,Swearingen SA-227AC Metro III,N342AE,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1992,100.0
2968,"Near Iquitos, Peru",Military - Peruvian Air Force - TANS,Estrecho - Iquitos,de Havilland Canada DHC-6 Twin Otter 300,FAP304,41.0,38.0,3.0,8.0,6.0,2.0,0.0,1992,19.51219512195122
2969,"Gimli, Manitoba, Canada",NewCal Aviation,Test,de Havilland Canada DHC-4T Caribou,N400NC,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1992,100.0
2970,"Near Ivanovo, Russia",Aeroflot,Donetsk - Ivanovo,Tupolev TU-134A,CCCP-65058,84.0,77.0,7.0,84.0,77.0,7.0,0.0,1992,100.0
2971,"Jamba, Angola",Professional Aviation Services,Jamba - Pretoria,Douglas DC-3,ZS-DHX,17.0,14.0,3.0,3.0,0.0,3.0,0.0,1992,17.647058823529413
2972,"Bellavista, Peru",Expresso Aéreo,Tarapoto - Bellavista,Fokker F-27 Friendship 500,OB-1443,43.0,36.0,7.0,1.0,0.0,1.0,1.0,1992,2.3255813953488373
2973,"Hana, Hawaii",Air Taxi - Hawaii Helicopters Inc.,Sightseeing,Aerospatiale AS-350B,N350SM,7.0,6.0,1.0,7.0,6.0,1.0,0.0,1992,100.0
2974,"Off Curacao, Netherlands Antilles",Aero Ejecutivos,Curacao - Miami,Douglas C-118A,YV-502C,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1992,100.0
2975,"Bogota, Colombia",Avesca Colombia,Villavicencio - Mitu,Curtiss C-46F-1-CU,HK-3468X,11.0,9.0,2.0,11.0,9.0,2.0,0.0,1992,100.0
2976,"Near Lagos, Nigeria",Military - Federal Nigerian Air Force,Lagos - Kaduna,Lockheed C-130H,NAF911,158.0,154.0,4.0,158.0,154.0,4.0,0.0,1992,100.0
2977,"Near  Kathmandu, Nepal",Pakistan International Airlines,Karachi - Kathmandu,Airbus A300B4-203,AP-BCP,167.0,155.0,12.0,167.0,155.0,12.0,0.0,1992,100.0
2978,"Amsterdam, Netherlands",El Al,Amsterdam - Tel Aviv,Boeing B-747-258F,4X-AXG,4.0,1.0,3.0,4.0,1.0,3.0,39.0,1992,100.0
2979,"Berkeley Springs, West Virginia",Miltiary - U.S. Airforce,Training,Lockheed C-130E Hercules,63-7881,6.0,0.0,6.0,6.0,0.0,6.0,0.0,1992,100.0
2980,"Near Dingxi, China",Wuhan Airlines,Lanzhou - Xi'an,Avia 14M-40,B-4211,35.0,28.0,7.0,14.0,9.0,5.0,0.0,1992,40.0
2981,"Near Garut, Jawa, Indonesia",Merpati Nusantara Airlines,Semarang - Bandung,CASA 235-10,PK-MNN,31.0,27.0,4.0,31.0,27.0,4.0,0.0,1992,100.0
2982,"Near Usti Nem, Russia",Syktyvkar Avia,Ust'-Him - 	Syktyvkar,Antonov AN-28,CCCP-28785,16.0,14.0,2.0,15.0,13.0,2.0,0.0,1992,93.75
2983,"Chita, Russia",Aeroflot,Petropavlovsk - Novosobrisk,Antonov AN-8,CCCP-69346,14.0,9.0,5.0,13.0,8.0,5.0,0.0,1992,92.85714285714286
2984,"Near Tver, Russia",Military - Russian Air Force,Migalovo AB - Yerevan,Antonov AN-22A,CCCP-09303,33.0,26.0,7.0,33.0,26.0,7.0,0.0,1992,100.0
2985,"Near Nha Trang, Vietnam",Vietnam Airlines,Ho Chi Minh City - Nha Trang,Yakovlev YAK-40,VN-A449,31.0,25.0,6.0,30.0,24.0,6.0,0.0,1992,96.7741935483871
2986,"Near Porto Plata, Dominican Republic",Aerocaribbean - Charter,Santo Domingo - Porto Plata,Ilyushin IL-18D,CU-T1270,34.0,28.0,6.0,34.0,28.0,6.0,0.0,1992,100.0
2987,"Near Guilin, China",China Southern Airlines,Guangzhou - Guilin,Boeing B-737-3Y0,B-2523,141.0,133.0,8.0,141.0,133.0,8.0,0.0,1992,100.0
2988,"Uruapan, Mexico",Aero Sudpacifico,Uruapan - Guadalajara,Britten-Norman BN-2B-27 Islander,XA-RML,9.0,8.0,1.0,9.0,8.0,1.0,0.0,1992,100.0
2989,"Goma, Congo",Scibe Airlift Cargo Zaire,Kindu - Goma,Fokker F-27 Friendship 400M,9Q-CBH,37.0,31.0,6.0,37.0,31.0,6.0,0.0,1992,100.0
2990,"Faro, Algarve, Portugal",Martinair Holland NV,Amsterdam - Faro,McDonnell Douglas DC-10-30CF,PH-MBN,340.0,327.0,13.0,56.0,54.0,2.0,0.0,1992,16.470588235294116
2991,"Tripoli, Libya",Libya Arab Airlines / Military -  Libya Air Force,Benghazi - Tripoli,Boeing B-727-2L5 / MiG23UB,5A-DIA,157.0,147.0,10.0,157.0,147.0,10.0,0.0,1992,100.0
2992,"Paris, France",Lufthansa Cityline,Bremen - Paris,de Havilland Canada DHC-8-301,D-BEAT,23.0,19.0,4.0,4.0,4.0,0.0,0.0,1993,17.391304347826086
2993,"Sellafield, England",Titan Airways,Southend - Glasgow,Embraer 110P1 Bandeirante,G-ZAPE,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1993,100.0
2994,"Near Bronson Creek, British Colombia, Canada",Central Mountain Air Services,Bronson - Wrangell,Douglas C-47A,C-FAAM,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1993,100.0
2995,"Sumatra, Indonesia",Pan Malaysian Air Transport,Medan - Banda Aceh - Jakarta,Shorts SC-7 Skyvan 3-100,9M-PID,16.0,11.0,5.0,16.0,11.0,5.0,0.0,1993,100.0
2996,"Near Tehran, Iran",Iran Air Tours  /  Military - Iranian Air Force,Tehran - Khoram,Tupolev TU-154M / Sukhoi Su-24,EP-ITD,133.0,119.0,14.0,133.0,119.0,14.0,0.0,1993,100.0
2997,"Bogota, Colombia",Cargo Three Panama,Bogota-Panama,Convair CV-440,HP-1200CTH,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1993,100.0
2998,"Off Green Island, Taiwan",Formosa Airlines,Taipei-Iles Orchides,Dornier 228-201,B-12238,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1993,100.0
2999,"Skopje, Macedonia",Palair Macedonian,Skopje - Zürich,Fokker 100,PH-KXL,97.0,92.0,5.0,83.0,79.0,4.0,0.0,1993,85.56701030927834
3000,"Near Tangara de Serra, Brazil",Oeste Linhas Aereas,Cuiaba - Vihena - Rondonia,Embraer EMB-110 Bandeirante,PP-SBJ,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1993,100.0
3001,"Blountville, Tennesee",Private,"Bristol, TN - Blountville, TN",Fairchild SA227-TT,N500AK,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1993,100.0
3002,"Off Margarita Island, Venezuela",Linea Aeropostal Venezolana,Test,McDonnell Douglas DC-9-15,YV-03C,11.0,8.0,3.0,11.0,8.0,3.0,0.0,1993,100.0
3003,"950 nm S of  Shemya, Alaska",China Eastern Airlines,Shanghai - Los Angeles,McDonnell Douglas MD-11,B-2171,264.0,248.0,16.0,2.0,2.0,0.0,0.0,1993,0.7575757575757576
3004,"Zwingle, Iowa",Private,"Cincinnati, OH - Pierre, SD",Mitsubishi MU-2B-60,N86SD,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1993,100.0
3005,"Zavnah, Mongolia",MIAT - Mongolian Airlines,Ulan Bator - Bayan Olgiy,Antonov AN-26B,BHMAY-14102,40.0,34.0,6.0,32.0,26.0,6.0,0.0,1993,80.0
3006,"Aurangabad, India",Indian Airlines,Aurangabad - Bombay,Boeing B-737-2A8,VT-ECQ,118.0,112.0,6.0,55.0,55.0,0.0,0.0,1993,46.61016949152542
3007,"Off  Libreville, Gambia",Military - Zambian Air Force,Lusaka - Libreville - Dakar,de Havilland  Canada  DHC-5D Buffalo,AF-319,30.0,25.0,5.0,30.0,25.0,5.0,0.0,1993,100.0
3008,"Near Cancun, Mexico",Carga del Caribe,Cancun - Cozumel,Douglas DC-6BF,XA-SEA,5.0,0.0,5.0,3.0,0.0,3.0,0.0,1993,60.0
3009,"Near Medellin, Colombia",SAM Colombia,Panama City - Medellin,Boeing B-727-46,HK-2422X,132.0,125.0,7.0,132.0,125.0,7.0,0.0,1993,100.0
3010,"El Yopal, Colombia",Aerotaca,Bogota - El Yopal,de Havilland Canada DHC-6 Twin Otter 300,HK-2759X,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1993,100.0
3011,"Near Tbilisi, Georgia",Tajikistan Airlines,Batumi - Baku - Chimkent,Antonov AN-26,RA-26035,41.0,36.0,5.0,41.0,36.0,5.0,0.0,1993,100.0
3012,"Sorong, Irian Jaya, Indonesia",Merpati Nusantara Airlines,Ambo - Sorong,Fokker F-28 Fellowship 3000,PK-GFU,43.0,39.0,4.0,41.0,37.0,4.0,0.0,1993,95.34883720930233
3013,"Talladega, Alabama",Private,Birmingham - Talladega,"Helicopter, Hughes 369HS",N9116F,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1993,50.0
3014,"Yinchuan, China",China Northwest Airlines,Yinchuan - Beijing,British Aerospace 146-300,B-2716,113.0,108.0,5.0,55.0,54.0,1.0,0.0,1993,48.67256637168141
3015,"Haenam, South Korea",Asiana Airlines,Seoul - Mokpo,Boeing B-737-5L9,HL-7229,110.0,104.0,6.0,68.0,64.0,4.0,0.0,1993,61.81818181818181
3016,"Serawak, Malaysia",Hornbill Airways,Ba Kelalan - Marudi,Shorts SC-7 Skyvan 3-100,9M-AXM,17.0,15.0,2.0,1.0,1.0,0.0,0.0,1993,5.88235294117647
3017,"Devghat, Nepal",Everest Air,Kathmandu - Bharatpur,Dornier Do-228-101,9N-ACL,19.0,16.0,3.0,19.0,16.0,3.0,0.0,1993,100.0
3018,"Leeward Point Airfield, Guantanamo Bay, Cuba",American International Airways,"Norfolk, VA - Guantanamo, Cuba",McDonnell Douglas DC-8-61,N814CK,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1993,0.0
3019,"Near Aldan, Russia",Sakha Airlines,Uchur - Aldan,Let 410UVP-E,RA-67656,24.0,22.0,2.0,24.0,22.0,2.0,0.0,1993,100.0
3020,"Khorag, Tajikistan",Tajikistan Airlines,Khorag - Dushanbe,Yakovlev YAK-40,CCCP-87995,86.0,81.0,5.0,82.0,77.0,5.0,0.0,1993,95.34883720930233
3021,"Warsaw, Poland",Lufthansa,Frankfurt - Warszawa,Airbus A320-211,D-AIPN,70.0,64.0,6.0,2.0,1.0,1.0,0.0,1993,2.857142857142857
3022,"Sukhumi, Georgia",Transair Georgia Airlines,Sochi - Sukhumi,Tupolev TU-134A,CCCP-65893,27.0,22.0,5.0,27.0,22.0,5.0,0.0,1993,100.0
3023,"Sukhumi, Georgia",Transair Georgia Airlines,Tbilisi - Sukhumi,Tupolev TU-154B,CCCP-85163,132.0,120.0,12.0,108.0,100.0,8.0,0.0,1993,81.81818181818183
3024,"Franz Josef Glacier, New Zealand",Hibiscus Air,Glentanner - Queenstown,GAF Nomad N-22,ZK-NOM,9.0,6.0,3.0,9.0,6.0,3.0,0.0,1993,100.0
3025,"Fuzhou, China",China Eastern Airlines,Shenzen - Fuzhou,McDonnell Douglas MD-82,B-2103,80.0,71.0,9.0,2.0,2.0,0.0,0.0,1993,2.5
3026,"Near Namsos, Norway",Wideroe's Flyveselksap,Trondheim - Namsos,de Havilland Canada DHC-6 Twin Otter 300,LN-BNM,20.0,17.0,3.0,7.0,4.0,3.0,0.0,1993,35.0
3027,"Sandy Lake, Canada",Air Manitoba,Winnipeg - Sandy Lake,Hawker Siddeley HS-748-234 Srs. 2A,C-GQTH,7.0,4.0,3.0,7.0,4.0,3.0,0.0,1993,100.0
3028,"Urumqi, China",China Northern Airlines,Beijing - Urumqi,McDonnell Douglas MD-82,B-2141,102.0,92.0,10.0,12.0,8.0,4.0,0.0,1993,11.76470588235294
3029,"Near Kerman, Iran",Magistralnye Avialinii,Dubai - Kerman,Antonov AN-124,RA-82071,17.0,14.0,3.0,17.0,14.0,3.0,0.0,1993,100.0
3030,"Near Ohrid, Macedonia",Aviaimpex (Macedonia),Genèva- Skopje,Yakovlev YAK-42D,RA-42390,116.0,108.0,8.0,116.0,108.0,8.0,0.0,1993,100.0
3031,"Hibbing, Minnesota",Express Airlines - Northwest Airlink,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,N334PX,18.0,16.0,2.0,18.0,16.0,2.0,0.0,1993,100.0
3032,"Tuktoyaktuk, NWT, Canada",Arctic Wings & Rotors,Tuktoyaktuk - Inuvik,Britten Norman BN-2A Trislander7,C-GMOP,7.0,6.0,1.0,7.0,6.0,1.0,0.0,1993,100.0
3033,"Phonesavanh, Laos",Lao Aviation,Vientiane - Phonesavahn,Yunshuji Y-12-II,RDPL-34117,18.0,16.0,2.0,18.0,16.0,2.0,0.0,1993,100.0
3034,"Near Naga, Philippines",Military - Philippine Air Force,Manila - Naga,Lockheed C-130H,4761,29.0,23.0,6.0,29.0,23.0,6.0,0.0,1993,100.0
3035,"Gyumri, Armenia",Kuban Airlines,Krasnadar - Gyumri,Antonov AN-26,RA-26141,36.0,31.0,5.0,36.0,31.0,5.0,0.0,1993,100.0
3036,"Near Mamony, Siberia, Russia",Baikal Air,Irkutsk - Moscow,Tupolev TU-154M,RA-85656,124.0,115.0,9.0,124.0,115.0,9.0,1.0,1994,100.0
3037,"Columbus, Ohio",Atlantic Coast Airlines (United Express),"Washington D.C. - Columbus, OH",British Aerospace Jetstream 4101,N304UE,8.0,3.0,5.0,5.0,2.0,3.0,0.0,1994,62.5
3038,"Nalchik, Russia",North Western Air Transport,Volgograd - Nalchik,Antonov AN-12V,RA-11118,13.0,7.0,6.0,13.0,7.0,6.0,0.0,1994,100.0
3039,"East Midlands, England",British World Airways,Edinburgh - Coventry,Vickers 813 Viscount,G-OHOT,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1994,50.0
